bits	prob_fp_no_discards	prob_fp_after_discards	P0	P1	prob_fp0	prob_fp1
100	0.135	0.0191	0.5000	0.2000	0.0761	0.0405
99	0.14	0.0107	0.5000	0.2067	0.0745	0.0362
98	0.141	0.00586	0.5000	0.2133	0.0729	0.034
97	0.137	0.0105	0.5000	0.2200	0.0733	0.0374
96	0.157	0.0152	0.5000	0.2267	0.0849	0.0456
95	0.148	0.0165	0.5000	0.2333	0.0813	0.0455
94	0.183	0.018	0.5000	0.2400	0.0992	0.0554
93	0.179	0.0219	0.5000	0.2467	0.0988	0.058
92	0.2	0.0222	0.5000	0.2533	0.109	0.0642
91	0.21	0.0164	0.5000	0.2600	0.112	0.0644
90	0.194	0.0219	0.5000	0.2667	0.106	0.065
89	0.225	0.0285	0.5000	0.2733	0.124	0.0781
88	0.213	0.0279	0.5000	0.2800	0.118	0.0759
87	0.23	0.0272	0.5000	0.2867	0.126	0.0813
86	0.245	0.0318	0.5000	0.2933	0.135	0.0895
85	0.253	0.0339	0.5000	0.3000	0.14	0.0943
84	0.254	0.0381	0.5000	0.3067	0.142	0.0983
83	0.274	0.0411	0.5000	0.3133	0.152	0.107
82	0.286	0.0538	0.5000	0.3200	0.163	0.119
81	0.286	0.0457	0.5000	0.3267	0.16	0.117
80	0.291	0.0501	0.5000	0.3333	0.164	0.122
79	0.301	0.0514	0.5000	0.3400	0.169	0.127
78	0.324	0.0658	0.5000	0.3467	0.186	0.143
77	0.317	0.0537	0.5000	0.3533	0.178	0.137
76	0.339	0.0684	0.5000	0.3600	0.194	0.153
75	0.354	0.0778	0.5000	0.3667	0.204	0.164
74	0.39	0.0925	0.5000	0.3733	0.226	0.184
73	0.386	0.085	0.5000	0.3800	0.222	0.182
72	0.396	0.0983	0.5000	0.3867	0.231	0.193
71	0.437	0.109	0.5000	0.3933	0.253	0.214
70	0.435	0.0972	0.5000	0.4000	0.248	0.21
69	0.446	0.118	0.5000	0.4067	0.26	0.225
68	0.479	0.151	0.5000	0.4133	0.286	0.252
67	0.478	0.148	0.5000	0.4200	0.284	0.254
66	0.49	0.159	0.5000	0.4267	0.293	0.264
65	0.483	0.168	0.5000	0.4333	0.294	0.268
64	0.506	0.19	0.5000	0.4400	0.311	0.287
63	0.519	0.199	0.5000	0.4467	0.319	0.298
62	0.548	0.217	0.5000	0.4533	0.337	0.317
61	0.557	0.231	0.5000	0.4600	0.345	0.328
60	0.565	0.257	0.5000	0.4667	0.358	0.344
59	0.59	0.274	0.5000	0.4733	0.373	0.361
58	0.627	0.309	0.5000	0.4800	0.397	0.388
57	0.624	0.319	0.5000	0.4867	0.4	0.394
56	0.62	0.324	0.5000	0.4933	0.401	0.398
55	0.646	0.377	0.5000	0.5000	0.43	0.43
54	0.646	0.369	0.5000	0.5067	0.426	0.429
53	0.659	0.399	0.5000	0.5133	0.443	0.448
52	0.677	0.42	0.5000	0.5200	0.456	0.464
51	0.672	0.431	0.5000	0.5267	0.46	0.471
50	0.695	0.467	0.5000	0.5333	0.481	0.495
49	0.716	0.505	0.5000	0.5400	0.503	0.52
48	0.728	0.52	0.5000	0.5467	0.512	0.532
47	0.748	0.561	0.5000	0.5533	0.535	0.558
46	0.746	0.569	0.5000	0.5600	0.541	0.565
45	0.76	0.601	0.5000	0.5667	0.561	0.587
44	0.772	0.621	0.5000	0.5733	0.573	0.602
43	0.78	0.639	0.5000	0.5800	0.585	0.616
42	0.788	0.664	0.5000	0.5867	0.604	0.636
41	0.804	0.697	0.5000	0.5933	0.627	0.66
40	0.821	0.721	0.5000	0.6000	0.642	0.678
